TEAM,NAME,WEIGHT (kg),HEIGHT (m),AGE,BIRTH DATE,PRIMARY ROLE,NATIONALITY,TOTAL CAPS,6N CAPS,TOTAL TRIES,6N TRIES,TOTAL DROPS,6N DROPS,TOTAL PENALTY,6N PENALTY,TOTAL CONVERSIONS,6N CONVERSIONS,TOTAL YC,6N YC,TOTAL RC,6N RC,TOTAL MIN PLAYED,6N MIN PLAYED,TOTAL STARTING,6N STARTER,STATUS,FIRST INTERNATIONAL,LAST INTERNATIONAL
FRA,Alexandre Roumat,110,1.98,27,27/06/97,N8,France,10,7,1,0,0,0,0,0,0,0,0,0,0,0,394,160,4,2,Active,2024,2025
FRA,Anthony Belleau,86,1.77,28,08/04/96,FH,France,12,4,1,0,0,0,3,0,5,1,0,0,0,0,473,78,5,0,Inactive,2017,2019
FRA,Anthony Bouthier,86,1.82,32,16/06/92,FB,France,11,7,1,1,0,0,0,0,0,0,1,1,0,0,434,373,6,5,Active,2020,2021
FRA,Anthony Jelonch,108,1.95,28,28/07/96,FL,France,33,16,3,2,0,0,0,0,0,0,0,0,0,0,1954,827,25,10,Active,2017,2025
FRA,Antoine Burban,106,1.91,37,22/07/87,FL,France,4,2,0,0,0,0,0,0,0,0,0,0,0,0,143,92,1,1,Inactive,2013,2016
FRA,Antoine Dupont,86,1.74,28,15/11/96,SH,France,59,31,15,9,0,0,0,0,0,0,0,0,1,1,3613,2001,49,27,Active,2017,2025
FRA,Arthur Iturria,112,1.98,30,13/05/94,FL,France,15,8,1,0,0,0,0,0,0,0,0,0,0,0,984,500,13,6,Active,2017,2020
FRA,Arthur Retiere,80,1.73,27,01/08/97,W,France,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,Active,2020,2020
FRA,Arthur Vincent,92,1.83,25,30/09/99,C,France,18,9,1,1,0,0,0,0,0,0,0,0,0,0,1055,590,12,7,Active,2020,2021
FRA,Baptiste Couilloud,83,1.76,27,22/07/97,SH,France,20,5,4,0,0,0,0,0,0,0,0,0,0,0,596,39,5,0,Active,2018,2023
FRA,Baptiste Serin,83,1.82,30,20/06/94,SH,France,49,20,26,1,0,0,12,2,16,3,2,1,0,0,1599,475,17,5,Active,2016,2024
FRA,Bastien Chalureau,118,2.02,33,13/02/92,L,France,7,1,0,0,0,0,0,0,0,0,0,0,0,0,168,21,1,0,Active,2022,2023
FRA,Benjamin Fall,93,1.86,36,03/03/89,FB,France,14,8,3,1,0,0,0,0,1,1,0,0,1,0,953,529,12,7,Inactive,2009,2018
FRA,Benjamin Kayser,109,1.82,40,26/07/84,H,France,39,16,3,1,0,0,0,0,0,0,0,0,0,0,1339,533,11,4,Inactive,2008,2015
FRA,Bernard Le Roux,116,1.96,35,04/06/89,L,South Africa,47,20,0,0,0,0,0,0,0,0,2,1,0,0,2723,1278,32,17,Inactive,2013,2023
FRA,Boris Palu,113,1.94,29,04/02/96,L,France,2,2,0,0,0,0,0,0,0,0,0,0,0,0,34,34,0,0,Active,2020,2020
FRA,Brice Dulin,84,1.76,34,13/04/90,FB,France,37,13,9,6,0,0,1,0,0,0,1,0,0,0,2845,1065,35,13,Active,2012,2020
FRA,Cameron Woki,111,1.96,26,07/11/98,L,France,31,11,2,0,0,0,0,0,0,0,0,0,0,0,1723,496,24,7,Active,2020,2024
FRA,Camille Chat,101,1.78,29,18/12/95,H,France,34,15,2,1,0,0,0,0,0,0,1,1,0,0,963,303,8,0,Active,2016,2021
FRA,Camille Lopez,90,1.76,35,03/04/89,FH,France,28,12,0,0,3,1,40,30,19,9,0,0,0,0,1698,833,22,11,Active,2013,2019
FRA,Cedate Gomes Sa,113,1.85,31,07/08/93,P,Portugal,9,5,1,0,0,0,0,0,0,0,0,0,0,0,299,131,3,1,Active,2018,2019
FRA,Charles Ollivon,114,1.99,31,11/05/93,FL,France,46,21,16,9,0,0,0,0,0,0,2,1,0,0,3291,1523,41,20,Active,2014,2024
FRA,Christopher Tolofua,125,1.82,31,31/12/93,H,France,8,3,0,0,0,0,0,0,0,0,1,0,0,0,132,54,0,0,Active,2012,2017
FRA,Clement Maynadier,110,1.87,36,11/10/88,H,France,8,1,0,0,0,0,0,0,0,0,0,0,0,0,124,9,1,0,Active,2016,2018
FRA,Cyril Baille,118,1.82,31,15/09/93,P,France,57,34,5,1,0,0,0,0,0,0,0,0,0,0,2614,1731,41,29,Active,2016,2025
FRA,Cyril Cazeaux,117,1.98,30,10/02/95,L,France,4,1,0,0,0,0,0,0,0,0,0,0,0,0,115,21,1,0,Active,2020,2020
FRA,Damian Penaud,97,1.88,28,25/09/96,W,France,56,28,38,17,0,0,0,0,0,0,0,0,0,0,4142,2128,53,27,Active,2017,2025
FRA,Damien Chouly,106,1.92,39,27/11/85,FL,France,48,20,3,2,0,0,0,0,0,0,0,0,0,0,2485,999,28,11,Inactive,2007,2017
FRA,Dany Priso,112,1.82,31,02/01/94,P,Cameroon,18,7,0,0,0,0,0,0,0,0,0,0,0,0,476,121,3,0,Active,2018,2022
FRA,Demba Bamba,125,1.85,26,17/03/98,P,France,28,13,0,0,0,0,0,0,0,0,0,0,0,0,1041,512,9,4,Active,2018,2024
FRA,Djibril Camara,90,1.83,35,22/06/89,W,France,4,2,0,0,0,0,0,0,0,0,0,0,0,0,203,87,3,1,Active,2016,2017
FRA,Dorian Aldegheri,119,1.80,31,04/08/93,P,France,22,13,0,0,0,0,0,0,0,0,1,1,0,0,705,357,5,1,Active,2019,2025
FRA,Dylan Cretin,105,1.95,27,04/05/97,FL,France,22,13,1,1,0,0,0,0,0,0,0,0,0,0,891,432,10,4,Active,2020,2023
FRA,Eddy Ben Arous,110,1.83,34,25/08/90,P,France,20,10,0,0,0,0,0,0,0,0,0,0,0,0,807,402,10,4,Active,2013,2017
FRA,Emilien Gailleton,89,1.85,21,13/07/03,C,England,8,2,3,1,0,0,0,0,0,0,0,0,0,0,339,14,4,0,Active,2023,2025
FRA,Emmanuel Meafou,142,2.03,26,12/07/98,L,New Zealand,9,6,0,0,0,0,0,0,0,0,0,0,0,0,428,279,7,4,Active,2024,2025
FRA,Esteban Abadie,100,1.88,27,01/12/97,FL,France,1,1,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,Active,2024,2024
FRA,Ethan Dumortier,95,1.92,24,29/12/00,W,France,6,5,2,2,0,0,0,0,0,0,0,0,0,0,439,382,6,5,Active,2023,2023
FRA,Etienne Falgoux,112,1.83,32,19/01/93,P,France,3,3,0,0,0,0,0,0,0,0,0,0,0,0,146,146,1,1,Active,2019,2019
FRA,Fabien Sanconnie,114,1.95,30,21/02/95,FL,France,4,2,0,0,0,0,0,0,0,0,0,0,0,0,219,134,3,2,Active,2017,2018
FRA,Felix Lambey,106,1.96,30,15/03/94,L,France,10,5,0,0,0,0,0,0,0,0,0,0,0,0,458,299,5,4,Active,2018,2020
FRA,Francois Cros,111,1.90,30,25/03/94,FL,France,39,24,1,1,0,0,0,0,0,0,2,2,0,0,2364,1549,31,21,Active,2019,2025
FRA,Francois Trinh-Duc,90,1.86,38,11/11/86,FH,France,67,36,9,2,7,3,7,0,7,2,0,0,0,0,3432,1811,24,23,Inactive,2008,2018
FRA,Gabin Villiere,93,1.80,29,13/12/95,W,France,18,6,8,3,0,0,0,0,0,0,0,0,0,0,1456,480,8,3,Active,2020,2024
FRA,Gael Fickou,100,1.90,30,26/03/94,C,France,94,50,17,13,0,0,0,0,0,0,1,1,0,0,6117,3373,74,41,Active,2013,2025
FRA,Gaetan Barlot,107,1.84,27,13/04/97,H,France,9,3,0,0,0,0,0,0,0,0,0,0,0,0,383,38,5,0,Active,2021,2024
FRA,Geoffrey Doumayrou,95,1.86,35,16/09/89,C,France,13,7,0,0,0,0,0,0,0,0,0,0,0,0,818,478,11,6,Inactive,2017,2019
FRA,Geoffrey Palis,96,1.89,33,08/07/91,W,France,3,3,0,0,0,0,0,0,0,0,0,0,0,0,160,160,2,2,Active,2018,2018
FRA,Georges-Henri Colombe,142,1.93,26,09/04/98,P,France,9,4,1,1,0,0,0,0,0,0,1,0,0,0,340,103,2,0,Active,2024,2025
FRA,Greg Alldritt,114,1.91,27,23/03/97,N8,France,56,34,6,5,0,0,0,0,0,0,1,1,0,0,3561,2167,50,30,Active,2019,2025
FRA,Guilhem Guirado,109,1.83,38,17/06/86,H,France,74,33,8,2,0,0,0,0,0,0,0,0,0,0,3694,1691,50,24,Inactive,2008,2019
FRA,Hassane Kolingar,116,1.86,27,06/03/98,P,France,3,1,0,0,0,0,0,0,0,0,0,0,0,0,86,5,1,0,Active,2020,2021
FRA,Henry Chavancy,97,1.81,36,22/05/88,C,France,4,2,1,0,0,0,0,0,0,0,0,0,0,0,261,101,3,1,Active,2017,2018
FRA,Hugo Auradou,102,2.00,21,20/07/03,L,France,5,4,0,0,0,0,0,0,0,0,0,0,0,0,125,73,1,0,Active,2024,2025
FRA,Hugo Bonneval,90,1.85,34,19/11/90,FB,France,11,6,4,3,0,0,0,0,0,0,0,0,0,0,703,388,9,5,Inactive,2014,2018
FRA,Jean-Baptiste Gros,112,1.85,25,29/05/99,P,France,37,17,1,0,0,0,0,0,0,0,0,0,0,0,1406,560,18,5,Active,2020,2025
FRA,Jean-Marc Doussain,93,1.74,34,12/02/91,FH,France,17,8,1,0,0,0,10,7,3,3,0,0,0,0,411,194,5,3,Inactive,2011,2017
FRA,Jefferson Poirot,117,1.81,32,01/11/92,P,France,36,17,1,0,0,0,0,0,0,0,1,0,0,0,1947,898,32,14,Active,2016,2020
FRA,Jocelino Suta,112,1.95,42,18/11/82,L,France,6,3,0,0,0,0,0,0,0,0,0,0,0,0,209,100,2,1,Inactive,2013,2015
FRA,Jonathan Danty,110,1.81,32,07/10/92,C,France,29,12,6,2,0,0,0,0,0,0,0,0,1,1,1961,842,27,12,Active,2020,2024
FRA,Jules Plisson,92,1.84,33,20/08/91,FH,France,19,11,0,0,0,0,17,8,10,6,0,0,0,0,955,668,11,8,Active,2014,2018
FRA,Julien Ledevedec,115,1.99,38,04/06/86,L,France,11,4,0,0,0,0,0,0,0,0,0,0,0,0,513,133,5,1,Inactive,2015,2017
FRA,Julien Marchand,110,1.81,29,10/05/95,H,France,45,31,2,1,0,0,0,0,0,0,1,0,0,0,2129,1574,31,22,Active,2018,2025
FRA,Kelian Galletier,103,1.90,32,18/03/92,FL,France,6,2,0,0,0,0,0,0,0,0,0,0,0,0,214,39,2,0,Active,2016,2019
